공시대상회사,회사코드,rpt_nm,공시접수일자,타법인명,문서내용,뉴스기사제목,뉴스기사Url
현대중공업파워시스템,01336179,타법인주식및출자증권취득결정,20191119,(가칭)현대신텍주식회사(한국),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191119000107,None,None
카리스국보,001140,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191118,흥아해운(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191118000209,http://www.etoday.co.kr/news/section/newsview.php?idxno=1823758,http://www.etoday.co.kr/news/section/newsview.php?idxno=1823758
에이치엘비생명과학,067630,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191115,에이치엘비(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191115000268,http://news.kmib.co.kr/article/view.asp?arcid=0013941464&code=61141211&cp=nv,http://news.kmib.co.kr/article/view.asp?arcid=0013941464&code=61141211&cp=nv
티제이파트너스,01410231,타법인주식및출자증권취득결정,20191115,동고택시(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191115000161,None,None
골드퍼시픽,038530,주요사항보고서(타법인주식및출자증권양수결정),20191114,조광아이엘아이(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002673,None,None
행남사,008800,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191114,영화사월광,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002612,http://www.sisaweek.com/news/articleView.html?idxno=127864,http://www.sisaweek.com/news/articleView.html?idxno=127864
행남사,008800,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191114,사나이픽쳐스,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002599,http://www.sisaweek.com/news/articleView.html?idxno=127864,http://www.sisaweek.com/news/articleView.html?idxno=127864
에이아이비트,039230,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191114,미래세라텍,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002454,http://www.sentv.co.kr/news/view/561422,http://www.sentv.co.kr/news/view/561422
알란텀,00687164,타법인주식및출자증권취득결정,20191114,AATM(Dalian)(China),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114000874,None,None
광림,014200,주요사항보고서(타법인주식및출자증권양수결정),20191113,남영비비안,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191113000582,http://news.mt.co.kr/mtview.php?no=2019111911411707804,http://news.mt.co.kr/mtview.php?no=2019111911411707804
에스에프씨,112240,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191112,빌리,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191112000206,None,None
에스에프씨,112240,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191112,오디컴퍼니,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191112000202,None,None
KJ프리텍,083470,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191112,해덕파워웨이,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191112000131,http://www.fintechpost.co.kr/news/articleView.html?idxno=90063,http://www.fintechpost.co.kr/news/articleView.html?idxno=90063
