title,link,press,date
맞춤형 법 제정에 이어 공공투자 유치… P2P금융 제도권 순항,http://www.hankookilbo.com/news/npath/201911191067093411?did=NA,한국일보,2019-11-19
 시그널  웨이브  2 000억 자금유치   OTT투자 롤모델 만든 SKT,https://www.sedaily.com/NewsView/1VQU0EMNNT,서울경제언론사,2019-11-19
빛가람 에너지밸리 투자유치 기업 400곳 돌파,http://www.asiatoday.co.kr/view.php?key=20191113010007156,아시아투데이,2019-11-19
렌딧  P2P금융 최초 공공기관투자 유치,http://www.dt.co.kr/contents.html?article_no=2019112002101958037002&ref=naver,디지털타임스,2019-11-19
공유킥보드  씽씽  투자유치 100억 넘었다,https://www.sedaily.com/NewsView/1VQUI3U89I,서울경제,2019-11-19
‘낙성벤처밸리’ 창업기업 투자 유치 탄력,http://www.munhwa.com/news/view.html?no=2019111301031403021001,문화일보,2019-11-19
스마트미디어 솔루션 인터브리드…15억 프리 시리즈 A 투자 유치,https://www.hankyung.com/economy/article/2019111352271,한국경제,2019-11-19
충남도  벨기에 네덜란드 등 유럽 기업서 1억8500만弗 투자 유치,https://www.hankyung.com/society/article/2019111352711,한국경제,2019-11-19
 말똥말똥  제조사 생활한방연구소  초기투자 유치,http://www.edaily.co.kr/news/newspath.asp?newsid=04057366622687032,이데일리,2019-11-19
국내 7개 경제청  FEZ 내 기업 투자유치 촉진  한목소리 낸다,http://www.kihoilbo.co.kr/news/articleView.html?idxno=837064,기호일보,2019-11-19
 데일리마켓뉴스  CJ CGV  자회사의 외부 투자 유치는 긍정적-신한금융투자,http://www.webdaily.co.kr/view.php?ud=2019111910303014557tpwebdaily_7,웹데일리,2019-11-19
렌딧  중진공 신규 투자 유치… P2P기업 최초의 공공기관 투자 ,http://www.etoday.co.kr/news/section/newsview.php?idxno=1823972,이투데이,2019-11-19
대전대 VR사업단 스포츠시뮬레이터 시장 확장 위해 30억대 투자 유치,http://www.joongdo.co.kr/main/view.php?key=20191119010008006,중도일보,2019-11-19
4차산업혁명 차별 없는 국내외기업 투자유치… 인천경제청 새바람 견인 노력,http://www.viva100.com/main/view.php?key=20191119010006609,브릿지경제,2019-11-19
인천경제청 국내외기업 유치로 잠재투자자 발굴,http://www.sportsseoul.com/news/read/850929,스포츠서울,2019-11-19
 예산 투자유치 올인  충북도… 정무부지사→경제부지사로,http://www.jbnews.com/news/articleView.html?idxno=1268446,중부매일,2019-11-19
제천시  일진글로벌 등 3개 기업으로부터 2 000억원 투자 유치,https://www.sedaily.com/NewsView/1VQUY15XRB,서울경제,2019-11-19
비대면 영상 면접 서비스 ‘큐레잇’ 투자 유치,https://www.venturesquare.net/796456,벤처스퀘어,2019-11-19
